cpu_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® D-1844NT Processor,Q4'23,10,3.1 GHz,2.00 GHz,15360,55.0
Intel® Xeon® D-1846 Processor,Q4'23,10,3.1 GHz,2.00 GHz,15360,55.0
Intel® Xeon® D-1848TER Processor,Q4'23,10,3.1 GHz,2.00 GHz,15360,57.0
Intel® Xeon® D-2832NT Processor,Q4'23,8,3.2 GHz,2.10 GHz,15 MB,70.0
Intel® Xeon® D-2843NT Processor,Q4'23,10,3.2 GHz,2.00 GHz,15 MB,80.0
Intel® Xeon® D-2876NT Processor,Q4'23,16,3.1 GHz,2.00 GHz,20 MB,100.0
Intel® Xeon® D-2896NT Processor,Q4'23,20,3.2 GHz,2.00 GHz,30 MB,117.0
Intel® Xeon® D-2896TER Processor,Q4'23,20,3.2 GHz,2.00 GHz,30 MB,110.0
Intel® Xeon® D-2899NT Processor,Q4'23,22,3.1 GHz,2.20 GHz,30 MB,135.0
Intel® Xeon® E-2414 Processor,Q4'23,4,4.50 GHz,2.60 GHz,12 MB,55.0
Intel® Xeon® E-2434 Processor,Q4'23,4,5.00 GHz,3.40 GHz,12 MB,55.0
Intel® Xeon® E-2436 Processor,Q4'23,6,5.00 GHz,2.90 GHz,18 MB,65.0
Intel® Xeon® E-2456 Processor,Q4'23,6,5.10 GHz,3.30 GHz,18 MB,80.0
Intel® Xeon® E-2468 Processor,Q4'23,8,5.2 GHz,2.6 GHz,24 MB,65.0
Intel® Xeon® E-2478 Processor,Q4'23,8,5.20 GHz,2.8 GHz,24 MB,80.0
Intel® Xeon® E-2486 Processor,Q4'23,6,5.6 GHz,3.5 GHz,18 MB,95.0
Intel® Xeon® E-2488 Processor,Q4'23,8,5.60 GHz,3.20 GHz,24 MB,95.0
Intel® Xeon® Gold 5512U Processor,Q4'23,28,3.7 GHz,2.1 GHz,52.5 MB,185.0
Intel® Xeon® Gold 5520+ Processor,Q4'23,28,4 GHz,2.2 GHz,52.5 MB,205.0
Intel® Xeon® Gold 6526Y Processor,Q4'23,16,3.9 GHz,2.8 GHz,37.5 MB,195.0
Intel® Xeon® Gold 6530 Processor,Q4'23,32,4 GHz,2.1 GHz,160 MB,270.0
Intel® Xeon® Gold 6534 Processor,Q4'23,8,4.2 GHz,3.9 GHz,22.5 MB,195.0
Intel® Xeon® Gold 6538N Processor,Q4'23,32,4.1 GHz,2.1 GHz,60 MB,205.0
Intel® Xeon® Gold 6538Y+ Processor,Q4'23,32,4 GHz,2.2 GHz,60 MB,225.0
Intel® Xeon® Gold 6542Y Processor,Q4'23,24,4.1 GHz,2.9 GHz,60 MB,250.0
Intel® Xeon® Gold 6548N Processor,Q4'23,32,4.1 GHz,2.8 GHz,60 MB,250.0
Intel® Xeon® Gold 6548Y+ Processor,Q4'23,32,4.1 GHz,2.5 GHz,60 MB,250.0
