cpu_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Core™ i5-10500TE Processor,Q2'20,6,3.70 GHz,2.30 GHz,12 MB Intel® Smart Cache,35.0
Intel® Core™ i5-10600K Processor,Q2'20,6,4.80 GHz,4.10 GHz,12 MB Intel® Smart Cache,125.0
Intel® Core™ i7-10700T Processor,Q2'20,8,4.50 GHz,2.00 GHz,16 MB Intel® Smart Cache,35.0
Intel® Core™ i7-10700TE Processor,Q2'20,8,4.40 GHz,2.00 GHz,16 MB Intel® Smart Cache,35.0
Intel® Core™ i9-10900E Processor,Q2'20,10,4.70 GHz,2.80 GHz,20 MB Intel® Smart Cache,65.0
Intel® Core™ i9-10900TE Processor,Q2'20,10,4.50 GHz,1.80 GHz,20 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G6400 Processor,Q2'20,2,,4.00 GHz,4 MB Intel® Smart Cache,58.0
Intel® Pentium® Gold G6400E Processor,Q2'20,2,,3.80 GHz,4 MB Intel® Smart Cache,58.0
Intel® Pentium® Gold G6400T Processor,Q2'20,2,,3.40 GHz,4 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G6400TE Processor,Q2'20,2,,3.20 GHz,4 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G6500 Processor,Q2'20,2,,4.10 GHz,4 MB Intel® Smart Cache,58.0
Intel® Pentium® Gold G6500T Processor,Q2'20,2,,3.50 GHz,4 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G6600 Processor,Q2'20,2,,4.20 GHz,4 MB Intel® Smart Cache,58.0
Intel® Core™ i5-10300H Processor,Q2'20,4,4.50 GHz,2.50 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i5-10400H Processor,Q2'20,4,4.60 GHz,2.60 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i7-10750H Processor,Q2'20,6,5.00 GHz,2.60 GHz,12 MB Intel® Smart Cache,45.0
Intel® Core™ i7-10850H Processor,Q2'20,6,5.10 GHz,2.70 GHz,12 MB Intel® Smart Cache,45.0
Intel® Core™ i7-10875H Processor,Q2'20,8,5.10 GHz,2.30 GHz,16 MB Intel® Smart Cache,45.0
Intel® Core™ i9-10980HK Processor,Q2'20,8,5.30 GHz,2.40 GHz,16 MB Intel® Smart Cache,45.0
Intel® Xeon® Bronze 3206R Processor,Q1'20,8,1.90 GHz,1.90 GHz,11 MB,85.0
Intel® Xeon® Gold 5218R Processor,Q1'20,20,4.00 GHz,2.10 GHz,27.5 MB,125.0
Intel® Xeon® Gold 5220R Processor,Q1'20,24,4.00 GHz,2.20 GHz,35.75 MB,150.0
Intel® Xeon® Gold 6208U Processor,Q1'20,16,3.90 GHz,2.90 GHz,22 MB,150.0
Intel® Xeon® Gold 6226R Processor,Q1'20,16,3.90 GHz,2.90 GHz,22 MB,150.0
Intel® Xeon® Gold 6230R Processor,Q1'20,26,4.00 GHz,2.10 GHz,35.75 MB,150.0
Intel® Xeon® Gold 6238R Processor,Q1'20,28,4.00 GHz,2.20 GHz,38.5 MB,165.0
Intel® Xeon® Gold 6240R Processor,Q1'20,24,4.00 GHz,2.40 GHz,35.75 MB,165.0
Intel® Xeon® Gold 6242R Processor,Q1'20,20,4.10 GHz,3.10 GHz,35.75 MB,205.0
Intel® Xeon® Gold 6246R Processor,Q1'20,16,4.10 GHz,3.40 GHz,35.75 MB,205.0
Intel® Xeon® Gold 6248R Processor,Q1'20,24,4.00 GHz,3.00 GHz,35.75 MB,205.0
Intel® Xeon® Gold 6250 Processor,Q1'20,8,4.50 GHz,3.90 GHz,35.75 MB,185.0
Intel® Xeon® Gold 6250L Processor,Q1'20,8,4.50 GHz,3.90 GHz,35.75 MB,185.0
Intel® Xeon® Gold 6256 Processor,Q1'20,12,4.50 GHz,3.60 GHz,33 MB,205.0
Intel® Xeon® Gold 6258R Processor,Q1'20,28,4.00 GHz,2.70 GHz,38.5 MB,205.0
Intel® Xeon® Silver 4210R Processor,Q1'20,10,3.20 GHz,2.40 GHz,13.75 MB,100.0
Intel® Xeon® Silver 4210T Processor,Q1'20,10,3.20 GHz,2.30 GHz,13.75 MB,95.0
Intel® Xeon® Silver 4214R Processor,Q1'20,12,3.50 GHz,2.40 GHz,16.5 MB,100.0
Intel® Xeon® Silver 4215R Processor,Q1'20,8,4.00 GHz,3.20 GHz,11 MB,130.0
Intel® Celeron® Processor J4025,Q4'19,2,,2.00 GHz,4 MB,10.0
Intel® Celeron® Processor J4125,Q4'19,4,,2.00 GHz,4 MB,10.0
Intel® Celeron® Processor N4020,Q4'19,2,,1.10 GHz,4 MB,6.0
Intel® Celeron® Processor N4120,Q4'19,4,,1.10 GHz,4 MB,6.0
Intel® Pentium® Silver J5040 Processor,Q4'19,4,,2.00 GHz,4 MB,10.0
Intel® Pentium® Silver N5030 Processor,Q4'19,4,,1.10 GHz,4 MB,6.0
Intel® Core™ i9-9900KS Processor,Q4'19,8,5.00 GHz,4.00 GHz,16 MB Intel® Smart Cache,127.0
Intel® Core™ i9-10900X X-series Processor,Q4'19,10,4.50 GHz,3.70 GHz,19.25 MB Intel® Smart Cache,165.0
Intel® Core™ i9-10920X X-series Processor,Q4'19,12,4.60 GHz,3.50 GHz,19.25 MB Intel® Smart Cache,165.0
Intel® Core™ i9-10940X X-series Processor,Q4'19,14,4.60 GHz,3.30 GHz,19.25 MB Intel® Smart Cache,165.0
Intel® Core™ i9-10980XE Extreme Edition Processor,Q4'19,18,4.60 GHz,3.00 GHz,24.75 MB Intel® Smart Cache,165.0
Intel® Xeon® W-2223 Processor,Q4'19,4,3.90 GHz,3.60 GHz,8.25 MB,120.0
Intel® Xeon® W-2225 Processor,Q4'19,4,4.60 GHz,4.10 GHz,8.25 MB,105.0
Intel® Xeon® W-2235 Processor,Q4'19,6,4.60 GHz,3.80 GHz,8.25 MB,130.0
Intel® Xeon® W-2245 Processor,Q4'19,8,4.50 GHz,3.90 GHz,16.5 MB,155.0
Intel® Xeon® W-2255 Processor,Q4'19,10,4.50 GHz,3.70 GHz,19.25 MB,165.0
Intel® Xeon® W-2265 Processor,Q4'19,12,4.60 GHz,3.50 GHz,19.25 MB,165.0
Intel® Xeon® W-2275 Processor,Q4'19,14,4.60 GHz,3.30 GHz,19.25 MB,165.0
Intel® Xeon® W-2295 Processor,Q4'19,18,4.60 GHz,3.00 GHz,24.75 MB,165.0
Intel® Celeron® Processor 5205U,Q4'19,2,,1.90 GHz,2 MB,15.0
Intel® Core™ i3-8140U Processor,Q4'19,2,3.90 GHz,2.10 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i5-8260U Processor,Q4'19,4,3.90 GHz,1.60 GHz,6 MB Intel® Smart Cache,15.0
Intel® Pentium® Gold 6405U Processor,Q4'19,2,,2.40 GHz,2 MB,15.0
Intel® Core™ i3-10110U Processor,Q3'19,2,4.10 GHz,2.10 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i3-10110Y Processor,Q3'19,2,4.00 GHz,1.00 GHz,4 MB Intel® Smart Cache,7.0
Intel® Core™ i5-10210U Processor,Q3'19,4,4.20 GHz,1.60 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i5-10210Y Processor,Q3'19,4,4.00 GHz,1.00 GHz,6 MB Intel® Smart Cache,7.0
Intel® Core™ i5-10310Y Processor,Q3'19,4,4.10 GHz,1.10 GHz,6 MB Intel® Smart Cache,7.0
Intel® Core™ i7-10510U Processor,Q3'19,4,4.90 GHz,1.80 GHz,8 MB Intel® Smart Cache,15.0
Intel® Core™ i7-10510Y Processor,Q3'19,4,4.50 GHz,1.20 GHz,8 MB Intel® Smart Cache,7.0
Intel® Core™ i7-10710U Processor,Q3'19,6,4.70 GHz,1.10 GHz,12 MB Intel® Smart Cache,15.0
Intel® Core™ i3-1005G1 Processor,Q3'19,2,3.40 GHz,1.20 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i5-1035G1 Processor,Q3'19,4,3.60 GHz,1.00 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i5-1035G4 Processor,Q3'19,4,3.70 GHz,1.10 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i5-1035G7 Processor,Q3'19,4,3.70 GHz,1.20 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i7-1065G7 Processor,Q3'19,4,3.90 GHz,1.30 GHz,8 MB Intel® Smart Cache,15.0
Intel® Xeon® Platinum 9221 Processor,Q3'19,32,3.70 GHz,2.30 GHz,71.5 MB,250.0
Intel® Xeon® Platinum 9222 Processor,Q3'19,32,3.70 GHz,2.30 GHz,71.5 MB,250.0
Intel® Celeron® Processor J3355E,Q3'19,2,2.50 GHz,2.00 GHz,2 MB,10.0
Intel® Celeron® Processor J3455E,Q3'19,4,2.30 GHz,1.50 GHz,2 MB,10.0
Intel® Celeron® Processor N3350E,Q3'19,2,2.40 GHz,1.10 GHz,2 MB,6.0
Intel® Pentium® Processor N4200E,Q3'19,4,2.50 GHz,1.10 GHz,2 MB,6.0
Intel® Core™ i5-8257U Processor,Q3'19,4,3.90 GHz,1.40 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i7-8557U Processor,Q3'19,4,4.50 GHz,1.70 GHz,8 MB Intel® Smart Cache,15.0
Intel® Celeron® Processor G4930E,Q2'19,2,2.40 GHz,2.40 GHz,2 MB,35.0
Intel® Celeron® Processor G4932E,Q2'19,2,1.90 GHz,1.90 GHz,2 MB,25.0
Intel® Core™ i3-9100E Processor,Q2'19,4,3.70 GHz,3.10 GHz,6 MB,65.0
Intel® Core™ i3-9100HL Processor,Q2'19,4,2.90 GHz,1.60 GHz,6 MB,25.0
Intel® Core™ i3-9100TE Processor,Q2'19,4,3.20 GHz,2.20 GHz,6 MB,35.0
Intel® Core™ i5-9500E Processor,Q2'19,6,4.20 GHz,3.00 GHz,9 MB,65.0
Intel® Core™ i7-9700E Processor,Q2'19,8,4.40 GHz,2.60 GHz,12 MB,65.0
Intel® Core™ i7-9700TE Processor,Q2'19,8,3.80 GHz,1.80 GHz,12 MB,35.0
Intel® Core™ i7-9850HE Processor,Q2'19,6,4.40 GHz,2.70 GHz,9 MB,45.0
Intel® Core™ i7-9850HL Processor,Q2'19,6,4.10 GHz,1.90 GHz,9 MB,25.0
Intel® Xeon® E-2226GE Processor,Q2'19,6,4.60 GHz,3.40 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2278GEL Processor,Q2'19,8,3.90 GHz,2.00 GHz,16 MB,35.0
Intel® Xeon® E-2254ME Processor,Q2'19,4,3.80 GHz,2.60 GHz,8 MB,45.0
Intel® Xeon® E-2254ML Processor,Q2'19,4,3.50 GHz,1.70 GHz,8 MB,25.0
Intel® Xeon® E-2276ME Processor,Q2'19,6,4.50 GHz,2.80 GHz,12 MB,45.0
Intel® Xeon® E-2276ML Processor,Q2'19,6,4.20 GHz,2.00 GHz,12 MB,25.0
Intel® Xeon® E-2278GE Processor,Q2'19,8,4.70 GHz,3.30 GHz,16 MB,80.0
Intel® Xeon® W-3223 Processor,Q2'19,8,4.00 GHz,3.50 GHz,16.5 MB,160.0
Intel® Xeon® W-3225 Processor,Q2'19,8,4.30 GHz,3.70 GHz,16.5 MB,160.0
Intel® Xeon® W-3235 Processor,Q2'19,12,4.40 GHz,3.30 GHz,19.25 MB,180.0
Intel® Xeon® W-3245 Processor,Q2'19,16,4.40 GHz,3.20 GHz,22 MB,205.0
Intel® Xeon® W-3245M Processor,Q2'19,16,4.40 GHz,3.20 GHz,22 MB,205.0
Intel® Xeon® W-3265 Processor,Q2'19,24,4.40 GHz,2.70 GHz,33 MB,205.0
Intel® Xeon® W-3265M Processor,Q2'19,24,4.40 GHz,2.70 GHz,33 MB,205.0
Intel® Xeon® W-3275 Processor,Q2'19,28,4.40 GHz,2.50 GHz,38.5 MB,205.0
Intel® Xeon® W-3275M Processor,Q2'19,28,4.40 GHz,2.50 GHz,38.5 MB,205.0
Intel® Xeon® E-2224 Processor,Q2'19,4,4.60 GHz,3.40 GHz,8 MB Intel® Smart Cache,71.0
Intel® Xeon® E-2224G Processor,Q2'19,4,4.70 GHz,3.50 GHz,8 MB Intel® Smart Cache,71.0
Intel® Xeon® E-2226G Processor,Q2'19,6,4.70 GHz,3.40 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2234 Processor,Q2'19,4,4.80 GHz,3.60 GHz,8 MB Intel® Smart Cache,71.0
Intel® Xeon® E-2236 Processor,Q2'19,6,4.80 GHz,3.40 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2244G Processor,Q2'19,4,4.80 GHz,3.80 GHz,8 MB Intel® Smart Cache,71.0
Intel® Xeon® E-2246G Processor,Q2'19,6,4.80 GHz,3.60 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2274G Processor,Q2'19,4,4.90 GHz,4.00 GHz,8 MB Intel® Smart Cache,83.0
Intel® Xeon® E-2276G Processor,Q2'19,6,4.90 GHz,3.80 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2276M Processor,Q2'19,6,4.70 GHz,2.80 GHz,12 MB Intel® Smart Cache,45.0
Intel® Xeon® E-2278G Processor,Q2'19,8,5.00 GHz,3.40 GHz,16 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2286G Processor,Q2'19,6,4.90 GHz,4.00 GHz,12 MB Intel® Smart Cache,95.0
Intel® Xeon® E-2286M Processor,Q2'19,8,5.00 GHz,2.40 GHz,16 MB Intel® Smart Cache,45.0
Intel® Xeon® E-2288G Processor,Q2'19,8,5.00 GHz,3.70 GHz,16 MB Intel® Smart Cache,95.0
Intel® Core™ i5-8279U Processor,Q2'19,4,4.10 GHz,2.40 GHz,6 MB Intel® Smart Cache,28.0
Intel® Core™ i7-8569U Processor,Q2'19,4,4.70 GHz,2.80 GHz,8 MB Intel® Smart Cache,28.0
Intel® Core™ i3-9100F Processor,Q2'19,4,4.20 GHz,3.60 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i3-9320 Processor,Q2'19,4,4.40 GHz,3.70 GHz,8 MB Intel® Smart Cache,62.0
Intel® Core™ i3-9350K Processor,Q2'19,4,4.60 GHz,4.00 GHz,8 MB Intel® Smart Cache,91.0
Intel® Core™ i5-9300H Processor,Q2'19,4,4.10 GHz,2.40 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i5-9400H Processor,Q2'19,4,4.30 GHz,2.50 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i5-9500F Processor,Q2'19,6,4.40 GHz,3.00 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i5-9500T Processor,Q2'19,6,3.70 GHz,2.20 GHz,9 MB Intel® Smart Cache,35.0
Intel® Core™ i5-9600T Processor,Q2'19,6,3.90 GHz,2.30 GHz,9 MB Intel® Smart Cache,35.0
Intel® Core™ i7-9700 Processor,Q2'19,8,4.70 GHz,3.00 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i7-9700F Processor,Q2'19,8,4.70 GHz,3.00 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i7-9700T Processor,Q2'19,8,4.30 GHz,2.00 GHz,12 MB Intel® Smart Cache,35.0
Intel® Core™ i7-9750H Processor,Q2'19,6,4.50 GHz,2.60 GHz,12 MB Intel® Smart Cache,45.0
Intel® Core™ i7-9750HF Processor,Q2'19,6,4.50 GHz,2.60 GHz,12 MB Intel® Smart Cache,45.0
Intel® Core™ i7-9850H Processor,Q2'19,6,4.60 GHz,2.60 GHz,12 MB,45.0
Intel® Core™ i9-9880H Processor,Q2'19,8,4.80 GHz,2.30 GHz,16 MB Intel® Smart Cache,45.0
Intel® Core™ i9-9900 Processor,Q2'19,8,5.00 GHz,3.10 GHz,16 MB Intel® Smart Cache,65.0
Intel® Core™ i9-9900T Processor,Q2'19,8,4.40 GHz,2.10 GHz,16 MB Intel® Smart Cache,35.0
Intel® Core™ i9-9980HK Processor,Q2'19,8,5.00 GHz,2.40 GHz,16 MB Intel® Smart Cache,45.0
Intel® Pentium® Gold G5420 Processor,Q2'19,2,,3.80 GHz,4 MB Intel® Smart Cache,54.0
Intel® Pentium® Gold G5620 Processor,Q2'19,2,,4.00 GHz,4 MB Intel® Smart Cache,54.0
Intel® Celeron® Processor G4930,Q2'19,2,,3.20 GHz,2 MB Intel® Smart Cache,54.0
Intel® Celeron® Processor G4930T,Q2'19,2,,3.00 GHz,2 MB Intel® Smart Cache,35.0
Intel® Celeron® Processor G4950,Q2'19,2,,3.30 GHz,2 MB Intel® Smart Cache,54.0
Intel® Core™ i3-9100 Processor,Q2'19,4,4.20 GHz,3.60 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i3-9100T Processor,Q2'19,4,3.70 GHz,3.10 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i3-9300 Processor,Q2'19,4,4.30 GHz,3.70 GHz,8 MB Intel® Smart Cache,62.0
Intel® Core™ i3-9300T Processor,Q2'19,4,3.80 GHz,3.20 GHz,8 MB Intel® Smart Cache,35.0
Intel® Core™ i5-9400T Processor,Q2'19,6,3.40 GHz,1.80 GHz,9 MB Intel® Smart Cache,35.0
Intel® Core™ i5-9500 Processor,Q2'19,6,4.40 GHz,3.00 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i5-9600 Processor,Q2'19,6,4.60 GHz,3.10 GHz,9 MB Intel® Smart Cache,65.0
Intel® Pentium® Gold G5420T Processor,Q2'19,2,,3.20 GHz,4 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G5600T Processor,Q2'19,2,,3.30 GHz,4 MB Intel® Smart Cache,35.0
Intel® Celeron® Processor 4305U,Q2'19,2,,2.20 GHz,2 MB Intel® Smart Cache,15.0
Intel® Core™ i5-8365U Processor,Q2'19,4,4.10 GHz,1.60 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i7-8665U Processor,Q2'19,4,4.80 GHz,1.90 GHz,8 MB Intel® Smart Cache,15.0
Intel® Xeon® Bronze 3204 Processor,Q2'19,6,1.90 GHz,1.90 GHz,8.25 MB,85.0
Intel® Xeon® D-1602 Processor,Q2'19,2,3.20 GHz,2.50 GHz,3 MB,27.0
Intel® Xeon® D-1622 Processor,Q2'19,4,3.20 GHz,2.60 GHz,6 MB,40.0
Intel® Xeon® D-1623N Processor,Q2'19,4,3.20 GHz,2.40 GHz,6 MB,35.0
Intel® Xeon® D-1627 Processor,Q2'19,4,3.20 GHz,2.90 GHz,6 MB,45.0
Intel® Xeon® D-1633N Processor,Q2'19,6,3.20 GHz,2.50 GHz,9 MB,45.0
Intel® Xeon® D-1637 Processor,Q2'19,6,3.20 GHz,2.90 GHz,9 MB,55.0
Intel® Xeon® D-1649N Processor,Q2'19,8,3.00 GHz,2.30 GHz,12 MB,45.0
Intel® Xeon® D-1653N Processor,Q2'19,8,3.20 GHz,2.80 GHz,12 MB,65.0
Intel® Xeon® Gold 5215 Processor,Q2'19,10,3.40 GHz,2.50 GHz,13.75 MB,85.0
Intel® Xeon® Gold 5215L Processor,Q2'19,10,3.40 GHz,2.50 GHz,13.75 MB,85.0
Intel® Xeon® Gold 5217 Processor,Q2'19,8,3.70 GHz,3.00 GHz,11 MB,115.0
Intel® Xeon® Gold 5218B Processor,Q2'19,16,3.90 GHz,2.30 GHz,22 MB,125.0
Intel® Xeon® Gold 5218N Processor,Q2'19,16,3.70 GHz,2.30 GHz,22 MB,110.0
Intel® Xeon® Gold 5218T Processor,Q2'19,16,3.80 GHz,2.10 GHz,22 MB,105.0
Intel® Xeon® Gold 5220 Processor,Q2'19,18,3.90 GHz,2.20 GHz,24.75 MB,125.0
Intel® Xeon® Gold 5220S Processor,Q2'19,18,3.90 GHz,2.70 GHz,24.75 MB,125.0
Intel® Xeon® Gold 5220T Processor,Q2'19,18,3.90 GHz,1.90 GHz,24.75 MB,105.0
Intel® Xeon® Gold 6222V Processor,Q2'19,20,3.60 GHz,1.80 GHz,27.5 MB,115.0
Intel® Xeon® Gold 6226 Processor,Q2'19,12,3.70 GHz,2.70 GHz,19.25 MB,125.0
Intel® Xeon® Gold 6230 Processor,Q2'19,20,3.90 GHz,2.10 GHz,27.5 MB,125.0
Intel® Xeon® Gold 6230T Processor,Q2'19,20,3.90 GHz,2.10 GHz,27.5 MB,125.0
Intel® Xeon® Gold 6234 Processor,Q2'19,8,4.00 GHz,3.30 GHz,24.75 MB,130.0
Intel® Xeon® Gold 6238 Processor,Q2'19,22,3.70 GHz,2.10 GHz,30.25 MB,140.0
Intel® Xeon® Gold 6238L Processor,Q2'19,22,3.70 GHz,2.10 GHz,30.25 MB,140.0
Intel® Xeon® Gold 6240L Processor,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB,150.0
Intel® Xeon® Gold 6246 Processor,Q2'19,12,4.20 GHz,3.30 GHz,24.75 MB,165.0
Intel® Xeon® Gold 6252N Processor,Q2'19,24,3.60 GHz,2.30 GHz,35.75 MB,150.0
Intel® Xeon® Silver 4208 Processor,Q2'19,8,3.20 GHz,2.10 GHz,11 MB,85.0
Intel® Xeon® Silver 4209T Processor,Q2'19,8,3.20 GHz,2.20 GHz,11 MB,70.0
Intel® Xeon® Silver 4210 Processor,Q2'19,10,3.20 GHz,2.20 GHz,13.75 MB,85.0
Intel® Xeon® Silver 4214 Processor,Q2'19,12,3.20 GHz,2.20 GHz,16.5 MB,85.0
Intel® Xeon® Silver 4214Y Processor,Q2'19,12,3.20 GHz,2.20 GHz,16.5 MB,85.0
Intel® Xeon® Silver 4215 Processor,Q2'19,8,3.50 GHz,2.50 GHz,11 MB,85.0
Intel® Xeon® Silver 4216 Processor,Q2'19,16,3.20 GHz,2.10 GHz,22 MB,100.0
Intel® Xeon® Gold 5218 Processor,Q2'19,16,3.90 GHz,2.30 GHz,22 MB,125.0
Intel® Xeon® Gold 5222 Processor,Q2'19,4,3.90 GHz,3.80 GHz,16.5 MB,105.0
Intel® Xeon® Gold 6209U Processor,Q2'19,20,3.90 GHz,2.10 GHz,27.5 MB,125.0
Intel® Xeon® Gold 6210U Processor,Q2'19,20,3.90 GHz,2.50 GHz,27.5 MB,150.0
Intel® Xeon® Gold 6212U Processor,Q2'19,24,3.90 GHz,2.40 GHz,35.75 MB,165.0
Intel® Xeon® Gold 6230N Processor,Q2'19,20,3.50 GHz,2.30 GHz,27.5 MB,125.0
Intel® Xeon® Gold 6238T Processor,Q2'19,22,3.70 GHz,1.90 GHz,30.25 MB,125.0
Intel® Xeon® Gold 6240 Processor,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB,150.0
Intel® Xeon® Gold 6240Y Processor,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB,150.0
Intel® Xeon® Gold 6242 Processor,Q2'19,16,3.90 GHz,2.80 GHz,22 MB,150.0
Intel® Xeon® Gold 6244 Processor,Q2'19,8,4.40 GHz,3.60 GHz,24.75 MB,150.0
Intel® Xeon® Gold 6248 Processor,Q2'19,20,3.90 GHz,2.50 GHz,27.5 MB,150.0
Intel® Xeon® Gold 6252 Processor,Q2'19,24,3.70 GHz,2.10 GHz,35.75 MB,150.0
Intel® Xeon® Gold 6254 Processor,Q2'19,18,4.00 GHz,3.10 GHz,24.75 MB,200.0
Intel® Xeon® Gold 6262V Processor,Q2'19,24,3.60 GHz,1.90 GHz,33 MB,135.0
Intel® Xeon® Platinum 8253 Processor,Q2'19,16,3.00 GHz,2.20 GHz,22 MB,125.0
Intel® Xeon® Platinum 8256 Processor,Q2'19,4,3.90 GHz,3.80 GHz,16.5 MB,105.0
Intel® Xeon® Platinum 8260 Processor,Q2'19,24,3.90 GHz,2.40 GHz,35.75 MB,165.0
Intel® Xeon® Platinum 8260L Processor,Q2'19,24,3.90 GHz,2.40 GHz,35.75 MB,165.0
Intel® Xeon® Platinum 8260Y Processor,Q2'19,24,3.90 GHz,2.40 GHz,35.75 MB,165.0
Intel® Xeon® Platinum 8268 Processor,Q2'19,24,3.90 GHz,2.90 GHz,35.75 MB,205.0
Intel® Xeon® Platinum 8270 Processor,Q2'19,26,4.00 GHz,2.70 GHz,35.75 MB,205.0
Intel® Xeon® Platinum 8276 Processor,Q2'19,28,4.00 GHz,2.20 GHz,38.5 MB,165.0
Intel® Xeon® Platinum 8276L Processor,Q2'19,28,4.00 GHz,2.20 GHz,38.5 MB,165.0
Intel® Xeon® Platinum 8280 Processor,Q2'19,28,4.00 GHz,2.70 GHz,38.5 MB,205.0
Intel® Xeon® Platinum 8280L Processor,Q2'19,28,4.00 GHz,2.70 GHz,38.5 MB,205.0
Intel® Xeon® Platinum 9242 Processor,Q2'19,48,3.80 GHz,2.30 GHz,71.5 MB Intel® Smart Cache,350.0
Intel® Xeon® Platinum 9282 Processor,Q2'19,56,3.80 GHz,2.60 GHz,77 MB Intel® Smart Cache,400.0
Intel® Core™ i5-9300HF Processor,Q2'19,4,4.10 GHz,2.40 GHz,8 MB Intel® Smart Cache,45.0
Intel® Xeon® W-3175X Processor,Q4'18,28,3.80 GHz,3.10 GHz,38.5 MB,255.0
Intel® Core™ i3-9350KF Processor,Q1'19,4,4.60 GHz,4.00 GHz,8 MB Intel® Smart Cache,91.0
Intel® Core™ i5-9400 Processor,Q1'19,6,4.10 GHz,2.90 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i5-9400F Processor,Q1'19,6,4.10 GHz,2.90 GHz,9 MB Intel® Smart Cache,65.0
Intel® Core™ i5-9600KF Processor,Q1'19,6,4.60 GHz,3.70 GHz,9 MB Intel® Smart Cache,95.0
Intel® Core™ i7-9700KF Processor,Q1'19,8,4.90 GHz,3.60 GHz,12 MB Intel® Smart Cache,95.0
Intel® Core™ i9-9900KF Processor,Q1'19,8,5.00 GHz,3.60 GHz,16 MB Intel® Smart Cache,95.0
Intel® Celeron® Processor 3867U,Q1'19,2,,1.80 GHz,2 MB Intel® Smart Cache,15.0
Intel® Celeron® Processor 4205U,Q1'19,2,,1.80 GHz,2 MB Intel® Smart Cache,15.0
Intel® Pentium® Gold 5405U Processor,Q1'19,2,,2.30 GHz,2 MB Intel® Smart Cache,15.0
Intel® Pentium® Gold Processor 4417U,Q1'19,2,,2.30 GHz,2 MB Intel® Smart Cache,15.0
Intel® Pentium® Gold Processor 4425Y,Q1'19,2,,1.70 GHz,2 MB,6.0
Intel® Xeon® Processor D-1524N,Q4'18,4,2.6 GHz,2.00 GHz,6 MB,45.0
Intel® Core™ i7-9700K Processor,Q4'18,8,4.90 GHz,3.60 GHz,12 MB Intel® Smart Cache,95.0
Intel® Core™ i7-9800X X-series Processor,Q4'18,8,4.40 GHz,3.80 GHz,16.5 MB Intel® Smart Cache,165.0
Intel® Core™ i9-9820X X-series Processor,Q4'18,10,4.10 GHz,3.30 GHz,16.5 MB Intel® Smart Cache,165.0
Intel® Core™ i9-9900K Processor,Q4'18,8,5.00 GHz,3.60 GHz,16 MB Intel® Smart Cache,95.0
Intel® Core™ i9-9900X X-series Processor,Q4'18,10,4.40 GHz,3.50 GHz,19.25 MB Intel® Smart Cache,165.0
Intel® Core™ i9-9940X X-series Processor,Q4'18,14,4.40 GHz,3.30 GHz,19.25 MB Intel® Smart Cache,165.0
Intel® Core™ i9-9960X X-series Processor,Q4'18,16,4.40 GHz,3.10 GHz,22 MB Intel® Smart Cache,165.0
Intel® Core™ i9-9980XE Extreme Edition Processor,Q4'18,18,4.40 GHz,3.00 GHz,24.75 MB Intel® Smart Cache,165.0
Intel® Core™ i5-9600K Processor,Q4'18,6,4.60 GHz,3.70 GHz,9 MB Intel® Smart Cache,95.0
Intel® Core™ i9-9920X X-series Processor,Q4'18,12,4.40 GHz,3.50 GHz,19.25 MB Intel® Smart Cache,165.0
